time, value
7455, 1878
7459, 1874
7463, 1874
7467, 1879
7471, 1873
7475, 1878
7479, 1875
7483, 1875
7487, 1882
7491, 1878
7495, 1879
7499, 1879
7503, 1873
7507, 1875
7511, 1874
7515, 1877
7519, 1875
7523, 1877
7527, 1877
7531, 1881
7535, 1873
7539, 1874
7543, 1874
7547, 1873
7551, 1877
7555, 1882
7559, 1881
7563, 1877
7567, 1877
7571, 1877
7575, 1878
7579, 1877
7583, 1874
7587, 1875
7591, 1878
7595, 1878
7599, 1877
7603, 1879
7607, 1877
7611, 1878
7615, 1875
7619, 1875
7623, 1873
7627, 1877
7631, 1874
7635, 1877
7639, 1876
7643, 1883
7647, 1875
7651, 1882
7655, 1877
7659, 1874
7663, 1872
7667, 1878
7671, 1879
7675, 1878
7679, 1874
7683, 1875
7687, 1877
7691, 1876
7695, 1875
7699, 1875
7703, 1877
7707, 1876
7711, 1873
7715, 1874
7719, 1878
7723, 1874
7727, 1877
7731, 1878
7735, 1882
7739, 1875
7743, 1877
7747, 1882
7751, 1874
7755, 1875
7759, 1875
7763, 1877
7767, 1875
7771, 1877
7775, 1877
7779, 1877
7783, 1879
7787, 1875
7791, 1875
7795, 1879
7799, 1879
7803, 1877
7807, 1875
7811, 1875
7815, 1875
7819, 1877
7823, 1883
7827, 1877
7831, 1874
7835, 1877
7839, 1874
7843, 1878
7847, 1878
7851, 1878
7855, 1876
7859, 1875
7863, 1879
7867, 1874
7871, 1877
7875, 1882
7879, 1876
7883, 1881
7887, 1877
7891, 1878
7895, 1879
7899, 1874
7903, 1876
7907, 1879
7911, 1875
7915, 1881
7919, 1877
7923, 1877
7927, 1876
7931, 1877
7935, 1877
7939, 1877
7943, 1879
7947, 1874
7951, 1873
7955, 1875
7959, 1877
7963, 1877
7967, 1875
7971, 1877
7975, 1881
7979, 1877
7983, 1877
7987, 1875
7991, 1875
7995, 1878
7999, 1876
8003, 1878
8007, 1879
8011, 1875
8015, 1875
8019, 1881
8023, 1877
8027, 1876
8031, 1874
8035, 1877
8039, 1877
8043, 1878
8047, 1877
8051, 1877
8055, 1879
8059, 1881
8063, 1875
8067, 1878
8071, 1881
8075, 1875
8079, 1878
8083, 1879
8087, 1879
8091, 1877
8095, 1875
8099, 1877
8103, 1877
8107, 1874
8111, 1875
8115, 1875
8119, 1874
8123, 1878
8127, 1875
8131, 1876
8135, 1881
8139, 1874
