time, value
2541, 1846
2543, 1843
2545, 1846
2547, 1844
2549, 1845
2551, 1844
2553, 1846
2555, 1845
2557, 1844
2559, 1843
2561, 1843
2563, 1843
2565, 1845
2567, 1845
2569, 1845
2571, 1845
2573, 1847
2575, 1847
2577, 1845
2579, 1846
2581, 1845
2583, 1843
2585, 1844
2587, 1846
2589, 1846
2591, 1845
2593, 1843
2595, 1845
2597, 1846
2599, 1848
2601, 1846
2603, 1845
2605, 1846
2607, 1846
2609, 1845
2611, 1844
2613, 1845
2615, 1845
2617, 1845
2619, 1847
2621, 1845
2623, 1845
2625, 1845
2627, 1847
2629, 1845
2631, 1846
2633, 1846
2635, 1846
2637, 1845
2639, 1846
2641, 1846
2643, 1843
2645, 1845
2647, 1847
2649, 1846
2651, 1845
2653, 1844
2655, 1844
2657, 1845
2659, 1845
2661, 1844
2663, 1844
2665, 1845
2667, 1843
2669, 1847
2671, 1847
2673, 1846
2675, 1845
2677, 1846
2679, 1848
2681, 1845
2683, 1846
2685, 1845
2687, 1846
2689, 1846
2691, 1845
2693, 1843
2695, 1844
2697, 1846
2699, 1843
2701, 1846
2703, 1847
2705, 1846
2707, 1844
2709, 1845
2711, 1846
2713, 1843
2715, 1846
2717, 1845
2719, 1845
2721, 1845
2723, 1845
2725, 1845
2727, 1845
2729, 1843
2731, 1845
2733, 1846
2735, 1844
2737, 1845
2739, 1847
2741, 1845
2743, 1845
2745, 1845
2747, 1845
2749, 1844
2751, 1846
2753, 1843
2755, 1849
2757, 1847
2759, 1845
2761, 1847
2763, 1845
2765, 1845
2767, 1845
2769, 1843
2771, 1845
2773, 1844
2775, 1847
2777, 1846
2779, 1847
2781, 1846
2783, 1846
2785, 1847
2787, 1847
2789, 1846
2791, 1846
2793, 1847
2795, 1850
2797, 1847
2799, 1847
2801, 1847
2803, 1846
2805, 1845
2807, 1849
2809, 1847
2811, 1846
2813, 1843
2815, 1846
2817, 1845
2819, 1845
2821, 1843
2823, 1843
2825, 1845
2827, 1844
2829, 1846
2831, 1843
2833, 1846
2835, 1845
2837, 1845
2839, 1845
2841, 1845
2843, 1845
2845, 1844
2847, 1844
2849, 1845
2851, 1845
2853, 1845
2855, 1845
2857, 1845
2859, 1846
2861, 1843
2863, 1843
2865, 1851
2867, 1843
2869, 1843
2871, 1845
2873, 1845
2875, 1845
2877, 1842
2879, 1845
2881, 1843
2883, 1843
2885, 1846
2887, 1845
2889, 1846
2891, 1845
2893, 1845
2895, 1846
2897, 1843
2899, 1846
2901, 1845
2903, 1843
2905, 1845
2907, 1845
2909, 1846
2911, 1845
2913, 1843
2915, 1847
2917, 1847
2919, 1845
2921, 1847
2923, 1846
2925, 1843
2927, 1843
2929, 1842
2931, 1845
2933, 1845
2935, 1844
2937, 1845
2939, 1846
2941, 1847
2943, 1845
2945, 1844
2947, 1845
2949, 1846
2951, 1846
2953, 1845
2955, 1845
2957, 1844
2959, 1845
2961, 1845
2963, 1846
2965, 1843
2967, 1843
2969, 1845
2971, 1846
2973, 1845
2975, 1843
2977, 1847
2979, 1844
2981, 1846
2983, 1847
2985, 1843
2987, 1845
2989, 1845
2991, 1846
2993, 1847
2995, 1845
2997, 1846
2999, 1846
3001, 1845
3003, 1846
3005, 1845
3007, 1845
3009, 1847
3011, 1843
3013, 1844
3015, 1846
3017, 1847
3019, 1845
3021, 1846
3023, 1846
3025, 1845
3027, 1846
3029, 1846
3031, 1845
3033, 1847
3035, 1846
3037, 1847
3039, 1846
3041, 1846
3043, 1846
3045, 1847
3047, 1845
3049, 1846
3051, 1846
3053, 1845
3055, 1846
3057, 1846
3059, 1845
3061, 1839
3063, 1846
3065, 1846
3067, 1843
3069, 1846
3071, 1846
3073, 1847
3075, 1851
3077, 1846
3079, 1845
3081, 1847
3083, 1845
3085, 1845
3087, 1845
3089, 1846
3091, 1846
3093, 1844
3095, 1844
3097, 1846
3099, 1844
3101, 1843
3103, 1845
3105, 1845
3107, 1845
3109, 1845
3111, 1845
3113, 1845
3115, 1845
3117, 1843
3119, 1845
3121, 1845
3123, 1845
3125, 1845
3127, 1845
3129, 1844
3131, 1846
3133, 1843
3135, 1845
3137, 1845
3139, 1843
3141, 1843
3143, 1847
3145, 1844
3147, 1843
3149, 1843
3151, 1843
3153, 1845
3155, 1845
3157, 1846
3159, 1844
3161, 1847
3163, 1845
3165, 1843
3167, 1845
3169, 1845
3171, 1845
3173, 1845
3175, 1845
3177, 1844
3179, 1846
3181, 1846
3183, 1843
3185, 1845
3187, 1845
3189, 1844
3191, 1846
3193, 1845
3195, 1845
3197, 1846
3199, 1846
3201, 1845
3203, 1846
3205, 1845
3207, 1845
3209, 1847
3211, 1845
3213, 1846
3215, 1845
3217, 1844
3219, 1846
3221, 1844
3223, 1845
3225, 1845
3227, 1845
3229, 1845
3231, 1845
3233, 1843
3235, 1845
3237, 1845
3239, 1845
3241, 1845
3243, 1845
3245, 1845
3247, 1845
3249, 1847
3251, 1846
3253, 1845
3255, 1845
3257, 1846
3259, 1845
3261, 1845
3263, 1846
3265, 1847
3267, 1846
3269, 1844
3271, 1847
3273, 1847
3275, 1845
3277, 1846
3279, 1846
3281, 1846
3283, 1845
3285, 1845
3287, 1846
3289, 1845
3291, 1847
3293, 1846
3295, 1846
3297, 1844
3299, 1845
3301, 1846
3303, 1845
3305, 1845
3307, 1847
3309, 1844
3311, 1847
3313, 1846
3315, 1847
3317, 1845
3319, 1845
3321, 1845
3323, 1844
3325, 1846
3327, 1846
3329, 1850
3331, 1847
3333, 1843
3335, 1846
3337, 1843
3339, 1846
3341, 1847
3343, 1845
3345, 1846
3347, 1846
3349, 1845
3351, 1844
3353, 1845
3355, 1847
3357, 1845
3359, 1846
3361, 1845
3363, 1845
3365, 1846
3367, 1846
3369, 1847
3371, 1846
3373, 1847
3375, 1847
3377, 1842
3379, 1845
3381, 1844
3383, 1845
3385, 1845
3387, 1846
3389, 1846
3391, 1846
3393, 1845
3395, 1846
3397, 1845
3399, 1846
3401, 1843
3403, 1845
3405, 1846
3407, 1846
3409, 1845
3411, 1846
3413, 1847
3415, 1845
3417, 1845
3419, 1846
3421, 1847
3423, 1845
3425, 1846
3427, 1845
3429, 1846
3431, 1845
3433, 1846
3435, 1846
3437, 1843
3439, 1843
3441, 1845
3443, 1847
3445, 1844
3447, 1845
3449, 1846
3451, 1845
3453, 1845
3455, 1846
3457, 1850
3459, 1843
3461, 1846
3463, 1846
3465, 1844
3467, 1845
3469, 1846
3471, 1846
3473, 1846
3475, 1847
3477, 1845
3479, 1846
3481, 1847
3483, 1845
3485, 1846
3487, 1844
3489, 1845
3491, 1846
3493, 1846
3495, 1847
3497, 1843
3499, 1845
3501, 1845
3503, 1843
3505, 1845
3507, 1846
3509, 1843
3511, 1843
3513, 1845
3515, 1845
3517, 1845
3519, 1845
3521, 1843
3523, 1846
3525, 1845
3527, 1844
3529, 1846
3531, 1846
3533, 1847
3535, 1844
3537, 1847
3539, 1845
3541, 1846
3543, 1846
